CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,45.0,68.0,10,850,1030,90
2,45.0,70.0,30,758,938,90
3,42.0,66.0,10,16,196,90
4,42.0,68.0,10,665,845,90
5,42.0,65.0,10,15,195,90
6,40.0,69.0,20,572,752,90
7,40.0,66.0,20,108,288,90
8,38.0,68.0,20,200,380,90
9,38.0,70.0,10,480,660,90
10,35.0,66.0,10,294,474,90
11,35.0,69.0,10,387,567,90
12,25.0,85.0,20,597,777,90
13,22.0,75.0,30,30,210,90
14,22.0,85.0,10,504,684,90
15,20.0,80.0,40,317,497,90
16,20.0,85.0,40,412,592,90
17,18.0,75.0,20,34,214,90
18,15.0,75.0,20,127,307,90
19,15.0,80.0,10,222,402,90
20,30.0,50.0,10,10,190,90
21,30.0,52.0,20,850,1030,90
22,28.0,52.0,20,758,938,90
23,28.0,55.0,10,665,845,90
24,25.0,50.0,10,15,195,90
25,25.0,52.0,40,107,287,90
26,25.0,55.0,10,572,752,90
27,23.0,52.0,10,199,379,90
28,23.0,55.0,20,480,660,90
29,20.0,50.0,10,292,472,90
30,20.0,55.0,10,387,567,90
31,10.0,35.0,20,129,309,90
32,10.0,40.0,30,31,211,90
33,8.0,40.0,40,33,213,90
34,8.0,45.0,20,694,874,90
35,5.0,35.0,10,224,404,90
36,5.0,45.0,10,601,781,90
37,2.0,40.0,20,319,499,90
38,0.0,40.0,30,411,591,90
39,0.0,45.0,20,506,686,90
40,35.0,30.0,10,203,383,90
41,35.0,32.0,10,111,291,90
42,33.0,32.0,20,19,199,90
43,33.0,35.0,10,16,196,90
44,32.0,30.0,10,296,476,90
45,30.0,30.0,10,481,661,90
46,30.0,32.0,30,389,569,90
47,30.0,35.0,10,947,1127,90
48,28.0,30.0,10,573,753,90
49,28.0,35.0,10,944,1124,90
50,26.0,32.0,10,758,938,90
51,25.0,30.0,10,666,846,90
52,25.0,35.0,10,851,1031,90
53,44.0,5.0,20,227,407,90
54,42.0,10.0,40,132,312,90
55,42.0,15.0,10,37,217,90
56,40.0,5.0,30,321,501,90
57,40.0,15.0,40,35,215,90
58,38.0,5.0,30,413,593,90
59,38.0,15.0,10,606,786,90
60,35.0,5.0,20,506,686,90
61,50.0,30.0,10,481,661,90
62,50.0,35.0,20,200,380,90
63,50.0,40.0,50,105,285,90
64,48.0,30.0,10,573,753,90
65,48.0,40.0,10,13,193,90
66,47.0,35.0,10,761,941,90
67,47.0,40.0,10,12,192,90
68,45.0,30.0,10,666,846,90
69,45.0,35.0,10,853,1033,90
70,95.0,30.0,30,332,512,90
71,95.0,35.0,20,237,417,90
72,53.0,30.0,10,388,568,90
73,92.0,30.0,10,425,605,90
74,53.0,35.0,50,293,473,90
75,45.0,65.0,20,943,1123,90
76,90.0,35.0,10,142,322,90
77,88.0,30.0,10,519,699,90
78,88.0,35.0,20,50,230,90
79,87.0,30.0,10,610,790,90
80,85.0,25.0,10,705,885,90
81,85.0,35.0,30,47,227,90
82,75.0,55.0,20,305,485,90
83,72.0,55.0,10,212,392,90
84,70.0,58.0,20,401,581,90
85,68.0,60.0,30,494,674,90
86,66.0,55.0,10,116,296,90
87,65.0,55.0,20,25,205,90
88,65.0,60.0,30,587,767,90
89,63.0,58.0,10,680,860,90
90,60.0,55.0,10,20,200,90
91,60.0,60.0,10,773,953,90
92,67.0,85.0,20,315,495,90
93,65.0,85.0,40,407,587,90
94,65.0,82.0,10,221,401,90
95,62.0,80.0,30,128,308,90
96,60.0,80.0,10,36,216,90
97,60.0,85.0,30,502,682,90
98,58.0,75.0,20,30,210,90
99,55.0,80.0,10,692,872,90
100,55.0,85.0,20,597,777,90
