CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,41.0,49.0,10,190,974,10
2,35.0,17.0,7,18,792,10
3,55.0,45.0,13,289,822,10
4,55.0,20.0,19,679,800,10
5,15.0,30.0,26,20,906,10
6,25.0,30.0,3,355,574,10
7,20.0,50.0,5,72,669,10
8,10.0,43.0,9,393,492,10
9,55.0,60.0,16,394,503,10
10,30.0,60.0,16,517,692,10
11,20.0,65.0,12,206,325,10
12,50.0,35.0,19,15,725,10
13,30.0,25.0,23,694,823,10
14,15.0,10.0,20,32,694,10
15,30.0,5.0,8,176,299,10
16,10.0,20.0,19,102,543,10
17,5.0,30.0,2,673,930,10
18,20.0,40.0,12,229,582,10
19,15.0,60.0,17,95,552,10
20,45.0,65.0,9,418,829,10
21,45.0,20.0,11,18,727,10
22,45.0,10.0,18,349,554,10
23,55.0,5.0,29,206,325,10
24,65.0,35.0,3,435,960,10
25,65.0,20.0,6,826,956,10
26,45.0,30.0,17,328,927,10
27,35.0,40.0,16,44,315,10
28,41.0,37.0,16,6,526,10
29,64.0,42.0,9,29,513,10
30,40.0,60.0,21,199,414,10
31,31.0,52.0,27,17,744,10
32,35.0,69.0,23,482,955,10
33,53.0,52.0,11,24,299,10
34,65.0,55.0,14,265,878,10
35,63.0,65.0,8,626,873,10
36,2.0,60.0,5,41,328,10
37,20.0,20.0,8,339,960,10
38,5.0,5.0,16,298,409,10
39,60.0,12.0,31,33,344,10
40,40.0,25.0,9,300,497,10
41,42.0,7.0,5,336,571,10
42,24.0,12.0,5,25,292,10
43,23.0,3.0,7,458,867,10
44,11.0,14.0,18,230,343,10
45,6.0,38.0,16,29,309,10
46,2.0,48.0,1,338,805,10
47,8.0,56.0,27,34,602,10
48,13.0,52.0,36,200,962,10
49,6.0,68.0,30,441,600,10
50,47.0,47.0,13,272,917,10
51,49.0,58.0,10,176,625,10
52,27.0,43.0,9,11,748,10
53,37.0,31.0,14,403,500,10
54,57.0,29.0,18,475,900,10
55,63.0,23.0,2,620,739,10
56,53.0,12.0,6,525,752,10
57,32.0,12.0,7,246,705,10
58,36.0,26.0,18,854,980,10
59,21.0,24.0,28,17,972,10
60,17.0,34.0,3,449,971,10
61,12.0,24.0,13,126,541,10
62,24.0,58.0,19,168,297,10
63,27.0,69.0,10,34,588,10
64,15.0,77.0,9,154,393,10
65,62.0,77.0,20,49,308,10
66,49.0,73.0,25,532,753,10
67,67.0,5.0,25,291,404,10
68,56.0,39.0,36,577,812,10
69,37.0,47.0,6,165,290,10
70,37.0,56.0,5,668,968,10
71,57.0,68.0,15,98,537,10
72,47.0,16.0,25,22,915,10
73,44.0,17.0,9,143,564,10
74,46.0,13.0,8,681,802,10
75,49.0,11.0,18,27,711,10
76,49.0,42.0,13,281,382,10
77,53.0,43.0,14,821,948,10
78,61.0,52.0,3,324,559,10
79,57.0,48.0,23,377,476,10
80,56.0,37.0,6,719,968,10
81,55.0,54.0,26,268,599,10
82,15.0,47.0,16,23,761,10
83,14.0,37.0,11,21,842,10
84,11.0,31.0,7,425,522,10
85,16.0,22.0,41,110,727,10
86,4.0,18.0,35,230,623,10
87,28.0,18.0,26,397,470,10
88,26.0,52.0,9,219,448,10
89,26.0,35.0,15,409,981,10
90,31.0,67.0,3,225,654,10
91,15.0,19.0,1,222,964,10
92,22.0,22.0,2,18,159,10
93,18.0,24.0,22,691,969,10
94,26.0,27.0,27,190,749,10
95,25.0,24.0,20,14,793,10
96,22.0,27.0,11,344,953,10
97,25.0,21.0,12,462,823,10
98,19.0,21.0,10,21,748,10
99,20.0,26.0,9,328,437,10
100,18.0,18.0,17,821,965,10
