CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,41.0,49.0,10,636,919,10
2,35.0,17.0,7,74,351,10
3,55.0,45.0,13,498,613,10
4,55.0,20.0,19,470,965,10
5,15.0,30.0,26,20,370,10
6,25.0,30.0,3,266,663,10
7,20.0,50.0,5,292,449,10
8,10.0,43.0,9,288,597,10
9,55.0,60.0,16,254,643,10
10,30.0,60.0,16,496,713,10
11,20.0,65.0,12,33,510,10
12,50.0,35.0,19,170,403,10
13,30.0,25.0,23,426,978,10
14,15.0,10.0,20,32,454,10
15,30.0,5.0,8,30,529,10
16,10.0,20.0,19,222,423,10
17,5.0,30.0,2,409,959,10
18,20.0,40.0,12,349,462,10
19,15.0,60.0,17,215,432,10
20,45.0,65.0,9,538,709,10
21,45.0,20.0,11,156,389,10
22,45.0,10.0,18,280,623,10
23,55.0,5.0,29,36,513,10
24,65.0,35.0,3,633,918,10
25,65.0,20.0,6,400,956,10
26,45.0,30.0,17,548,707,10
27,35.0,40.0,16,5,612,10
28,41.0,37.0,16,44,325,10
29,64.0,42.0,9,129,374,10
30,40.0,60.0,21,115,498,10
31,31.0,52.0,27,91,336,10
32,35.0,69.0,23,602,835,10
33,53.0,52.0,11,24,646,10
34,65.0,55.0,14,487,656,10
35,63.0,65.0,8,439,948,10
36,2.0,60.0,5,41,710,10
37,20.0,20.0,8,563,736,10
38,5.0,5.0,16,147,560,10
39,60.0,12.0,31,33,797,10
40,40.0,25.0,9,243,554,10
41,42.0,7.0,5,225,682,10
42,24.0,12.0,5,25,616,10
43,23.0,3.0,7,578,747,10
44,11.0,14.0,18,72,501,10
45,6.0,38.0,16,29,669,10
46,2.0,48.0,1,458,685,10
47,8.0,56.0,27,34,362,10
48,13.0,52.0,36,694,962,10
49,6.0,68.0,30,444,597,10
50,47.0,47.0,13,499,690,10
51,49.0,58.0,10,296,505,10
52,27.0,43.0,9,111,362,10
53,37.0,31.0,14,301,602,10
54,57.0,29.0,18,595,780,10
55,63.0,23.0,2,442,917,10
56,53.0,12.0,6,426,851,10
57,32.0,12.0,7,366,585,10
58,36.0,26.0,18,458,980,10
59,21.0,24.0,28,17,441,10
60,17.0,34.0,3,651,932,10
61,12.0,24.0,13,246,421,10
62,24.0,58.0,19,25,583,10
63,27.0,69.0,10,34,348,10
64,15.0,77.0,9,46,523,10
65,62.0,77.0,20,49,608,10
66,49.0,73.0,25,440,845,10
67,67.0,5.0,25,132,563,10
68,56.0,39.0,36,464,925,10
69,37.0,47.0,6,12,535,10
70,37.0,56.0,5,249,968,10
71,57.0,68.0,15,218,417,10
72,47.0,16.0,25,22,377,10
73,44.0,17.0,9,263,444,10
74,46.0,13.0,8,479,965,10
75,49.0,11.0,18,182,399,10
76,49.0,42.0,13,166,497,10
77,53.0,43.0,14,430,970,10
78,61.0,52.0,3,212,671,10
79,57.0,48.0,23,273,580,10
80,56.0,37.0,6,452,968,10
81,55.0,54.0,26,388,479,10
82,15.0,47.0,16,99,352,10
83,14.0,37.0,11,21,328,10
84,11.0,31.0,7,323,624,10
85,16.0,22.0,41,333,504,10
86,4.0,18.0,35,350,503,10
87,28.0,18.0,26,380,487,10
88,26.0,52.0,9,114,553,10
89,26.0,35.0,15,649,981,10
90,31.0,67.0,3,345,534,10
91,15.0,19.0,1,675,930,10
92,22.0,22.0,2,18,673,10
93,18.0,24.0,22,339,969,10
94,26.0,27.0,27,403,536,10
95,25.0,24.0,20,22,301,10
96,22.0,27.0,11,565,732,10
97,25.0,21.0,12,582,703,10
98,19.0,21.0,10,122,367,10
99,20.0,26.0,9,185,580,10
100,18.0,18.0,17,297,965,10
