CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,41.0,49.0,10,130,201,10
2,35.0,17.0,7,20,89,10
3,55.0,45.0,13,106,135,10
4,55.0,20.0,19,71,195,10
5,15.0,30.0,26,20,107,10
6,25.0,30.0,3,54,153,10
7,20.0,50.0,5,66,105,10
8,10.0,43.0,9,61,138,10
9,55.0,60.0,16,53,150,10
10,30.0,60.0,16,101,156,10
11,20.0,65.0,12,33,152,10
12,50.0,35.0,19,38,97,10
13,30.0,25.0,23,70,208,10
14,15.0,10.0,20,32,137,10
15,30.0,5.0,8,30,154,10
16,10.0,20.0,19,54,105,10
17,5.0,30.0,2,51,189,10
18,20.0,40.0,12,77,106,10
19,15.0,60.0,17,53,108,10
20,45.0,65.0,9,109,152,10
21,45.0,20.0,11,37,96,10
22,45.0,10.0,18,59,144,10
23,55.0,5.0,29,36,155,10
24,65.0,35.0,3,118,190,10
25,65.0,20.0,6,47,186,10
26,45.0,30.0,17,117,156,10
27,35.0,40.0,16,5,156,10
28,41.0,37.0,16,8,79,10
29,64.0,42.0,9,37,98,10
30,40.0,60.0,21,28,123,10
31,31.0,52.0,27,24,85,10
32,35.0,69.0,23,116,175,10
33,53.0,52.0,11,24,179,10
34,65.0,55.0,14,100,143,10
35,63.0,65.0,8,50,178,10
36,2.0,60.0,5,41,178,10
37,20.0,20.0,8,117,160,10
38,5.0,5.0,16,42,145,10
39,60.0,12.0,31,33,186,10
40,40.0,25.0,9,51,128,10
41,42.0,7.0,5,44,159,10
42,24.0,12.0,5,25,172,10
43,23.0,3.0,7,115,158,10
44,11.0,14.0,18,31,138,10
45,6.0,38.0,16,29,189,10
46,2.0,48.0,1,93,150,10
47,8.0,56.0,27,34,116,10
48,13.0,52.0,36,125,192,10
49,6.0,68.0,30,93,132,10
50,47.0,47.0,13,105,152,10
51,49.0,58.0,10,66,119,10
52,27.0,43.0,9,25,88,10
53,37.0,31.0,14,62,137,10
54,57.0,29.0,18,121,168,10
55,63.0,23.0,2,70,189,10
56,53.0,12.0,6,81,188,10
57,32.0,12.0,7,78,133,10
58,36.0,26.0,18,79,210,10
59,21.0,24.0,28,17,123,10
60,17.0,34.0,3,130,201,10
61,12.0,24.0,13,59,102,10
62,24.0,58.0,19,25,164,10
63,27.0,69.0,10,34,112,10
64,15.0,77.0,9,46,165,10
65,62.0,77.0,20,49,170,10
66,49.0,73.0,25,77,179,10
67,67.0,5.0,25,43,150,10
68,56.0,39.0,36,82,198,10
69,37.0,47.0,6,12,142,10
70,37.0,56.0,5,21,198,10
71,57.0,68.0,15,57,106,10
72,47.0,16.0,25,22,110,10
73,44.0,17.0,9,60,105,10
74,46.0,13.0,8,73,195,10
75,49.0,11.0,18,46,101,10
76,49.0,42.0,13,36,119,10
77,53.0,43.0,14,65,200,10
78,61.0,52.0,3,43,158,10
79,57.0,48.0,23,58,135,10
80,56.0,37.0,6,69,198,10
81,55.0,54.0,26,87,110,10
82,15.0,47.0,16,28,91,10
83,14.0,37.0,11,21,97,10
84,11.0,31.0,7,68,143,10
85,16.0,22.0,41,74,117,10
86,4.0,18.0,35,79,118,10
87,28.0,18.0,26,84,111,10
88,26.0,52.0,9,24,133,10
89,26.0,35.0,15,128,211,10
90,31.0,67.0,3,76,123,10
91,15.0,19.0,1,130,194,10
92,22.0,22.0,2,18,181,10
93,18.0,24.0,22,41,199,10
94,26.0,27.0,27,88,121,10
95,25.0,24.0,20,14,83,10
96,22.0,27.0,11,119,160,10
97,25.0,21.0,12,122,153,10
98,19.0,21.0,10,32,93,10
99,20.0,26.0,9,38,137,10
100,18.0,18.0,17,28,195,10
