CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,25.0,85.0,20,431,911,10
2,22.0,75.0,30,30,510,10
3,22.0,85.0,10,291,771,10
4,20.0,80.0,40,674,734,10
5,20.0,85.0,20,40,520,10
6,18.0,75.0,20,393,502,10
7,15.0,75.0,20,120,600,10
8,15.0,80.0,10,397,457,10
9,10.0,35.0,20,401,461,10
10,10.0,40.0,30,535,622,10
11,8.0,40.0,40,225,285,10
12,8.0,45.0,20,43,523,10
13,5.0,35.0,10,683,743,10
14,5.0,45.0,10,35,366,10
15,2.0,40.0,20,204,264,10
16,0.0,40.0,20,204,425,10
17,0.0,45.0,20,698,827,10
18,44.0,5.0,20,306,483,10
19,42.0,10.0,40,199,428,10
20,42.0,15.0,10,494,699,10
21,40.0,5.0,10,45,525,10
22,40.0,15.0,40,383,486,10
23,38.0,5.0,30,231,291,10
24,38.0,15.0,10,609,872,10
25,35.0,5.0,20,821,881,10
26,95.0,30.0,30,349,829,10
27,95.0,35.0,20,138,273,10
28,92.0,30.0,10,78,339,10
29,90.0,35.0,10,132,375,10
30,88.0,30.0,10,252,359,10
31,88.0,35.0,20,50,530,10
32,87.0,30.0,10,562,799,10
33,85.0,25.0,10,71,208,10
34,85.0,35.0,30,307,787,10
35,67.0,85.0,20,655,778,10
36,65.0,85.0,40,43,186,10
37,65.0,82.0,10,377,857,10
38,62.0,80.0,30,308,368,10
39,60.0,80.0,10,46,201,10
40,60.0,85.0,30,339,438,10
41,58.0,75.0,20,377,494,10
42,55.0,80.0,10,33,166,10
43,55.0,85.0,20,531,736,10
44,55.0,82.0,10,247,307,10
45,20.0,82.0,10,37,177,10
46,18.0,80.0,10,432,665,10
47,2.0,45.0,10,38,322,10
48,42.0,5.0,10,424,904,10
49,42.0,12.0,10,460,539,10
50,72.0,35.0,30,327,807,10
51,55.0,20.0,19,273,498,10
52,25.0,30.0,3,25,505,10
53,20.0,50.0,5,405,465,10
54,55.0,60.0,16,554,767,10
55,30.0,60.0,16,629,689,10
56,50.0,35.0,19,560,673,10
57,30.0,25.0,23,342,571,10
58,15.0,10.0,20,842,902,10
59,10.0,20.0,19,42,522,10
60,15.0,60.0,17,623,884,10
61,45.0,65.0,9,214,421,10
62,65.0,35.0,3,197,257,10
63,65.0,20.0,6,39,316,10
64,45.0,30.0,17,191,310,10
65,35.0,40.0,16,11,140,10
66,41.0,37.0,16,570,681,10
67,64.0,42.0,9,298,358,10
68,40.0,60.0,21,613,730,10
69,31.0,52.0,27,187,247,10
70,35.0,69.0,23,780,930,10
71,65.0,55.0,14,191,410,10
72,63.0,65.0,8,27,507,10
73,2.0,60.0,5,240,451,10
74,20.0,20.0,8,675,735,10
75,5.0,5.0,16,57,537,10
76,60.0,12.0,31,298,358,10
77,23.0,3.0,7,794,854,10
78,8.0,56.0,27,366,483,10
79,6.0,68.0,30,382,442,10
80,47.0,47.0,13,817,942,10
81,49.0,58.0,10,332,497,10
82,27.0,43.0,9,14,494,10
83,37.0,31.0,14,19,499,10
84,57.0,29.0,18,425,485,10
85,63.0,23.0,2,164,644,10
86,21.0,24.0,28,310,507,10
87,12.0,24.0,13,389,449,10
88,24.0,58.0,19,262,377,10
89,67.0,5.0,25,611,897,10
90,37.0,47.0,6,311,526,10
91,49.0,42.0,13,457,937,10
92,53.0,43.0,14,14,74,10
93,61.0,52.0,3,789,928,10
94,57.0,48.0,23,212,692,10
95,56.0,37.0,6,20,500,10
96,55.0,54.0,26,382,862,10
97,4.0,18.0,35,516,697,10
98,26.0,52.0,9,14,494,10
99,26.0,35.0,15,338,398,10
100,31.0,67.0,3,870,930,10
