CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,45.0,68.0,10,760,1120,90
2,45.0,70.0,30,668,1028,90
3,42.0,66.0,10,16,376,90
4,42.0,68.0,10,575,935,90
5,42.0,65.0,10,15,375,90
6,40.0,69.0,20,482,842,90
7,40.0,66.0,20,18,378,90
8,38.0,68.0,20,110,470,90
9,38.0,70.0,10,390,750,90
10,35.0,66.0,10,204,564,90
11,35.0,69.0,10,297,657,90
12,25.0,85.0,20,507,867,90
13,22.0,75.0,30,30,390,90
14,22.0,85.0,10,414,774,90
15,20.0,80.0,40,227,587,90
16,20.0,85.0,40,322,682,90
17,18.0,75.0,20,33,393,90
18,15.0,75.0,20,37,397,90
19,15.0,80.0,10,132,492,90
20,30.0,50.0,10,10,370,90
21,30.0,52.0,20,760,1120,90
22,28.0,52.0,20,668,1028,90
23,28.0,55.0,10,575,935,90
24,25.0,50.0,10,15,375,90
25,25.0,52.0,40,17,377,90
26,25.0,55.0,10,482,842,90
27,23.0,52.0,10,109,469,90
28,23.0,55.0,20,390,750,90
29,20.0,50.0,10,202,562,90
30,20.0,55.0,10,297,657,90
31,10.0,35.0,20,39,399,90
32,10.0,40.0,30,31,391,90
33,8.0,40.0,40,33,393,90
34,8.0,45.0,20,604,964,90
35,5.0,35.0,10,134,494,90
36,5.0,45.0,10,511,871,90
37,2.0,40.0,20,229,589,90
38,0.0,40.0,30,321,681,90
39,0.0,45.0,20,416,776,90
40,35.0,30.0,10,113,473,90
41,35.0,32.0,10,21,381,90
42,33.0,32.0,20,19,379,90
43,33.0,35.0,10,16,376,90
44,32.0,30.0,10,206,566,90
45,30.0,30.0,10,391,751,90
46,30.0,32.0,30,299,659,90
47,30.0,35.0,10,767,1127,90
48,28.0,30.0,10,483,843,90
49,28.0,35.0,10,766,1126,90
50,26.0,32.0,10,668,1028,90
51,25.0,30.0,10,576,936,90
52,25.0,35.0,10,761,1121,90
53,44.0,5.0,20,137,497,90
54,42.0,10.0,40,42,402,90
55,42.0,15.0,10,35,395,90
56,40.0,5.0,30,231,591,90
57,40.0,15.0,40,35,395,90
58,38.0,5.0,30,323,683,90
59,38.0,15.0,10,516,876,90
60,35.0,5.0,20,416,776,90
61,50.0,30.0,10,391,751,90
62,50.0,35.0,20,110,470,90
63,50.0,40.0,50,15,375,90
64,48.0,30.0,10,483,843,90
65,48.0,40.0,10,12,372,90
66,47.0,35.0,10,671,1031,90
67,47.0,40.0,10,12,372,90
68,45.0,30.0,10,576,936,90
69,45.0,35.0,10,763,1123,90
70,95.0,30.0,30,242,602,90
71,95.0,35.0,20,147,507,90
72,53.0,30.0,10,298,658,90
73,92.0,30.0,10,335,695,90
74,53.0,35.0,50,203,563,90
75,45.0,65.0,20,770,1130,90
76,90.0,35.0,10,52,412,90
77,88.0,30.0,10,429,789,90
78,88.0,35.0,20,50,410,90
79,87.0,30.0,10,520,880,90
80,85.0,25.0,10,615,975,90
81,85.0,35.0,30,47,407,90
82,75.0,55.0,20,215,575,90
83,72.0,55.0,10,122,482,90
84,70.0,58.0,20,311,671,90
85,68.0,60.0,30,404,764,90
86,66.0,55.0,10,26,386,90
87,65.0,55.0,20,25,385,90
88,65.0,60.0,30,497,857,90
89,63.0,58.0,10,590,950,90
90,60.0,55.0,10,20,380,90
91,60.0,60.0,10,683,1043,90
92,67.0,85.0,20,225,585,90
93,65.0,85.0,40,317,677,90
94,65.0,82.0,10,131,491,90
95,62.0,80.0,30,38,398,90
96,60.0,80.0,10,36,396,90
97,60.0,85.0,30,412,772,90
98,58.0,75.0,20,30,390,90
99,55.0,80.0,10,602,962,90
100,55.0,85.0,20,507,867,90
