CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,45.0,68.0,10,0,1127,90
2,45.0,70.0,30,0,1125,90
3,42.0,66.0,10,0,1129,90
4,42.0,68.0,10,727,782,90
5,42.0,65.0,10,0,1130,90
6,40.0,69.0,20,0,1127,90
7,40.0,66.0,20,0,1130,90
8,38.0,68.0,20,255,324,90
9,38.0,70.0,10,534,605,90
10,35.0,66.0,10,0,1129,90
11,35.0,69.0,10,448,505,90
12,25.0,85.0,20,0,1107,90
13,22.0,75.0,30,30,92,90
14,22.0,85.0,10,0,1106,90
15,20.0,80.0,40,384,429,90
16,20.0,85.0,40,0,1105,90
17,18.0,75.0,20,0,1112,90
18,15.0,75.0,20,0,1110,90
19,15.0,80.0,10,0,1106,90
20,30.0,50.0,10,0,1136,90
21,30.0,52.0,20,0,1135,90
22,28.0,52.0,20,0,1133,90
23,28.0,55.0,10,732,777,90
24,25.0,50.0,10,0,1131,90
25,25.0,52.0,40,169,224,90
26,25.0,55.0,10,0,1130,90
27,23.0,52.0,10,0,1128,90
28,23.0,55.0,20,0,1128,90
29,20.0,50.0,10,0,1126,90
30,20.0,55.0,10,0,1125,90
31,10.0,35.0,20,0,1112,90
32,10.0,40.0,30,0,1114,90
33,8.0,40.0,40,0,1112,90
34,8.0,45.0,20,0,1113,90
35,5.0,35.0,10,0,1107,90
36,5.0,45.0,10,0,1110,90
37,2.0,40.0,20,0,1106,90
38,0.0,40.0,30,479,522,90
39,0.0,45.0,20,0,1105,90
40,35.0,30.0,10,0,1125,90
41,35.0,32.0,10,0,1127,90
42,33.0,32.0,20,0,1126,90
43,33.0,35.0,10,0,1129,90
44,32.0,30.0,10,359,412,90
45,30.0,30.0,10,0,1123,90
46,30.0,32.0,30,0,1125,90
47,30.0,35.0,10,0,1127,90
48,28.0,30.0,10,0,1122,90
49,28.0,35.0,10,0,1126,90
50,26.0,32.0,10,0,1123,90
51,25.0,30.0,10,0,1121,90
52,25.0,35.0,10,0,1124,90
53,44.0,5.0,20,286,347,90
54,42.0,10.0,40,0,1105,90
55,42.0,15.0,10,95,158,90
56,40.0,5.0,30,0,1101,90
57,40.0,15.0,40,0,1111,90
58,38.0,5.0,30,471,534,90
59,38.0,15.0,10,0,1110,90
60,35.0,5.0,20,0,1100,90
61,50.0,30.0,10,0,1123,90
62,50.0,35.0,20,262,317,90
63,50.0,40.0,50,0,1131,90
64,48.0,30.0,10,0,1124,90
65,48.0,40.0,10,0,1133,90
66,47.0,35.0,10,0,1129,90
67,47.0,40.0,10,12,77,90
68,45.0,30.0,10,0,1125,90
69,45.0,35.0,10,916,969,90
70,95.0,30.0,30,0,1087,90
71,95.0,35.0,20,0,1088,90
72,53.0,30.0,10,0,1122,90
73,92.0,30.0,10,0,1090,90
74,53.0,35.0,50,353,412,90
75,45.0,65.0,20,0,1130,90
76,90.0,35.0,10,203,260,90
77,88.0,30.0,10,574,643,90
78,88.0,35.0,20,0,1095,90
79,87.0,30.0,10,668,731,90
80,85.0,25.0,10,0,1094,90
81,85.0,35.0,30,0,1098,90
82,75.0,55.0,20,0,1110,90
83,72.0,55.0,10,0,1113,90
84,70.0,58.0,20,458,523,90
85,68.0,60.0,30,0,1116,90
86,66.0,55.0,10,0,1119,90
87,65.0,55.0,20,85,144,90
88,65.0,60.0,30,0,1119,90
89,63.0,58.0,10,0,1121,90
90,60.0,55.0,10,0,1125,90
91,60.0,60.0,10,0,1123,90
92,67.0,85.0,20,368,441,90
93,65.0,85.0,40,0,1102,90
94,65.0,82.0,10,0,1105,90
95,62.0,80.0,30,0,1108,90
96,60.0,80.0,10,0,1109,90
97,60.0,85.0,30,0,1105,90
98,58.0,75.0,20,0,1115,90
99,55.0,80.0,10,743,820,90
100,55.0,85.0,20,647,726,90
