CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,25.0,85.0,20,145,175,10
2,22.0,75.0,30,50,80,10
3,22.0,85.0,10,109,139,10
4,20.0,80.0,40,141,171,10
5,20.0,85.0,20,41,71,10
6,18.0,75.0,20,95,125,10
7,15.0,75.0,20,79,109,10
8,15.0,80.0,10,91,121,10
9,10.0,35.0,20,91,121,10
10,10.0,40.0,30,119,149,10
11,8.0,40.0,40,59,89,10
12,8.0,45.0,20,64,94,10
13,5.0,35.0,10,142,172,10
14,5.0,45.0,10,35,65,10
15,2.0,40.0,20,58,88,10
16,0.0,40.0,20,72,102,10
17,0.0,45.0,20,149,179,10
18,44.0,5.0,20,87,117,10
19,42.0,10.0,40,72,102,10
20,42.0,15.0,10,122,152,10
21,40.0,5.0,10,67,97,10
22,40.0,15.0,40,92,122,10
23,38.0,5.0,30,65,95,10
24,38.0,15.0,10,148,178,10
25,35.0,5.0,20,154,184,10
26,95.0,30.0,30,115,145,10
27,95.0,35.0,20,62,92,10
28,92.0,30.0,10,62,92,10
29,90.0,35.0,10,67,97,10
30,88.0,30.0,10,74,104,10
31,88.0,35.0,20,61,91,10
32,87.0,30.0,10,131,161,10
33,85.0,25.0,10,51,81,10
34,85.0,35.0,30,111,141,10
35,67.0,85.0,20,139,169,10
36,65.0,85.0,40,43,73,10
37,65.0,82.0,10,124,154,10
38,62.0,80.0,30,75,105,10
39,60.0,80.0,10,37,67,10
40,60.0,85.0,30,85,115,10
41,58.0,75.0,20,92,122,10
42,55.0,80.0,10,33,63,10
43,55.0,85.0,20,128,158,10
44,55.0,82.0,10,64,94,10
45,20.0,82.0,10,37,67,10
46,18.0,80.0,10,113,143,10
47,2.0,45.0,10,45,75,10
48,42.0,5.0,10,151,181,10
49,42.0,12.0,10,104,134,10
50,72.0,35.0,30,116,146,10
51,55.0,20.0,19,83,113,10
52,25.0,30.0,3,52,82,10
53,20.0,50.0,5,91,121,10
54,55.0,60.0,16,139,169,10
55,30.0,60.0,16,140,170,10
56,50.0,35.0,19,130,160,10
57,30.0,25.0,23,96,126,10
58,15.0,10.0,20,152,182,10
59,10.0,20.0,19,42,72,10
60,15.0,60.0,17,155,185,10
61,45.0,65.0,9,66,96,10
62,65.0,35.0,3,52,82,10
63,65.0,20.0,6,39,69,10
64,45.0,30.0,17,53,83,10
65,35.0,40.0,16,11,41,10
66,41.0,37.0,16,133,163,10
67,64.0,42.0,9,70,100,10
68,40.0,60.0,21,144,174,10
69,31.0,52.0,27,41,71,10
70,35.0,69.0,23,180,210,10
71,65.0,55.0,14,65,95,10
72,63.0,65.0,8,30,60,10
73,2.0,60.0,5,77,107,10
74,20.0,20.0,8,141,171,10
75,5.0,5.0,16,74,104,10
76,60.0,12.0,31,75,105,10
77,23.0,3.0,7,150,180,10
78,8.0,56.0,27,90,120,10
79,6.0,68.0,30,89,119,10
80,47.0,47.0,13,192,222,10
81,49.0,58.0,10,86,116,10
82,27.0,43.0,9,42,72,10
83,37.0,31.0,14,35,65,10
84,57.0,29.0,18,96,126,10
85,63.0,23.0,2,87,117,10
86,21.0,24.0,28,87,117,10
87,12.0,24.0,13,90,120,10
88,24.0,58.0,19,67,97,10
89,67.0,5.0,25,144,174,10
90,37.0,47.0,6,86,116,10
91,49.0,42.0,13,167,197,10
92,53.0,43.0,14,14,44,10
93,61.0,52.0,3,178,208,10
94,57.0,48.0,23,95,125,10
95,56.0,37.0,6,34,64,10
96,55.0,54.0,26,132,162,10
97,4.0,18.0,35,120,150,10
98,26.0,52.0,9,46,76,10
99,26.0,35.0,15,77,107,10
100,31.0,67.0,3,180,210,10
