CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,25.0,85.0,20,673,793,10
2,22.0,75.0,30,152,272,10
3,22.0,85.0,10,471,591,10
4,20.0,80.0,40,644,764,10
5,20.0,85.0,20,73,193,10
6,18.0,75.0,20,388,508,10
7,15.0,75.0,20,300,420,10
8,15.0,80.0,10,367,487,10
9,10.0,35.0,20,371,491,10
10,10.0,40.0,30,519,639,10
11,8.0,40.0,40,195,315,10
12,8.0,45.0,20,223,343,10
13,5.0,35.0,10,653,773,10
14,5.0,45.0,10,35,155,10
15,2.0,40.0,20,174,294,10
16,0.0,40.0,20,255,375,10
17,0.0,45.0,20,703,823,10
18,44.0,5.0,20,335,455,10
19,42.0,10.0,40,254,374,10
20,42.0,15.0,10,537,657,10
21,40.0,5.0,10,215,335,10
22,40.0,15.0,40,375,495,10
23,38.0,5.0,30,201,321,10
24,38.0,15.0,10,681,801,10
25,35.0,5.0,20,784,904,10
26,95.0,30.0,30,529,649,10
27,95.0,35.0,20,146,266,10
28,92.0,30.0,10,149,269,10
29,90.0,35.0,10,194,314,10
30,88.0,30.0,10,246,366,10
31,88.0,35.0,20,165,285,10
32,87.0,30.0,10,621,741,10
33,85.0,25.0,10,80,200,10
34,85.0,35.0,30,487,607,10
35,67.0,85.0,20,657,777,10
36,65.0,85.0,40,43,163,10
37,65.0,82.0,10,557,677,10
38,62.0,80.0,30,278,398,10
39,60.0,80.0,10,64,184,10
40,60.0,85.0,30,329,449,10
41,58.0,75.0,20,376,496,10
42,55.0,80.0,10,33,153,10
43,55.0,85.0,20,574,694,10
44,55.0,82.0,10,217,337,10
45,20.0,82.0,10,37,157,10
46,18.0,80.0,10,489,609,10
47,2.0,45.0,10,105,225,10
48,42.0,5.0,10,732,852,10
49,42.0,12.0,10,440,560,10
50,72.0,35.0,30,507,627,10
51,55.0,20.0,19,326,446,10
52,25.0,30.0,3,175,295,10
53,20.0,50.0,5,375,495,10
54,55.0,60.0,16,601,721,10
55,30.0,60.0,16,599,719,10
56,50.0,35.0,19,557,677,10
57,30.0,25.0,23,397,517,10
58,15.0,10.0,20,782,902,10
59,10.0,20.0,19,42,162,10
60,15.0,60.0,17,694,814,10
61,45.0,65.0,9,258,378,10
62,65.0,35.0,3,167,287,10
63,65.0,20.0,6,39,159,10
64,45.0,30.0,17,191,311,10
65,35.0,40.0,16,11,131,10
66,41.0,37.0,16,566,686,10
67,64.0,42.0,9,268,388,10
68,40.0,60.0,21,612,732,10
69,31.0,52.0,27,157,277,10
70,35.0,69.0,23,810,930,10
71,65.0,55.0,14,241,361,10
72,63.0,65.0,8,60,180,10
73,2.0,60.0,5,286,406,10
74,20.0,20.0,8,645,765,10
75,5.0,5.0,16,232,352,10
76,60.0,12.0,31,268,388,10
77,23.0,3.0,7,764,884,10
78,8.0,56.0,27,365,485,10
79,6.0,68.0,30,352,472,10
80,47.0,47.0,13,822,942,10
81,49.0,58.0,10,355,475,10
82,27.0,43.0,9,152,272,10
83,37.0,31.0,14,105,225,10
84,57.0,29.0,18,395,515,10
85,63.0,23.0,2,344,464,10
86,21.0,24.0,28,349,469,10
87,12.0,24.0,13,359,479,10
88,24.0,58.0,19,260,380,10
89,67.0,5.0,25,713,833,10
90,37.0,47.0,6,359,479,10
91,49.0,42.0,13,719,839,10
92,53.0,43.0,14,14,134,10
93,61.0,52.0,3,808,928,10
94,57.0,48.0,23,392,512,10
95,56.0,37.0,6,100,220,10
96,55.0,54.0,26,562,682,10
97,4.0,18.0,35,547,667,10
98,26.0,52.0,9,172,292,10
99,26.0,35.0,15,308,428,10
100,31.0,67.0,3,810,930,10
